Model,MAE,RMSE,r2,R
LSTM-TSLightGBM-1h-4T,5.26,7.6,0.46,0.78
LSTM-TSLightGBM-1h-8T,5.09,7.5,0.39,0.75
LSTM-TSLightGBM-1h-10T,4.92,7.3,0.36,0.74
LSTM-TSLightGBM-1h-12T,5.05,7.44,0.3,0.71
LSTM-TSLightGBM-1h-16T,4.64,7.04,0.22,0.69
LSTM-TSLightGBM-1h-18T,4.66,6.94,0.25,0.7
LSTM-TSLightGBM-1h-24T,4.69,7.07,0.11,0.65
LSTM-TSLightGBM-1h-32T,4.43,6.57,0.13,0.68
LSTM-TSLightGBM-2h-4T,6.04,8.57,0.26,0.71
LSTM-TSLightGBM-2h-8T,5.64,8.16,0.19,0.69
LSTM-TSLightGBM-2h-10T,5.46,7.91,0.22,0.69
LSTM-TSLightGBM-2h-12T,5.48,7.93,0.2,0.66
LSTM-TSLightGBM-2h-16T,5.31,7.77,-0.14,0.61
LSTM-TSLightGBM-2h-18T,5.05,7.49,-0.06,0.63
LSTM-TSLightGBM-2h-24T,4.9,7.2,-0.02,0.63
LSTM-TSLightGBM-2h-32T,4.71,6.72,-0.07,0.59
LSTM-TSLightGBM-4h-4T,6.95,9.6,-0.19,0.6
LSTM-TSLightGBM-4h-8T,6.37,9.06,-0.13,0.59
LSTM-TSLightGBM-4h-10T,5.9,8.39,-0.15,0.59
LSTM-TSLightGBM-4h-12T,5.87,8.33,-0.35,0.55
LSTM-TSLightGBM-4h-16T,5.74,8.18,-0.53,0.55
LSTM-TSLightGBM-4h-18T,5.37,7.84,-0.56,0.57
LSTM-TSLightGBM-4h-24T,5.42,8.06,-0.38,0.52
LSTM-TSLightGBM-4h-32T,4.87,6.95,-0.36,0.54
LSTM-TSLightGBM-8h-4T,6.76,9.53,-1.01,0.48
LSTM-TSLightGBM-8h-8T,6.27,8.84,-0.57,0.49
LSTM-TSLightGBM-8h-10T,6.18,8.86,-1.06,0.44
LSTM-TSLightGBM-8h-12T,6.25,8.92,-0.88,0.44
LSTM-TSLightGBM-8h-16T,5.87,8.49,-0.92,0.48
LSTM-TSLightGBM-8h-18T,5.81,8.18,-0.84,0.5
LSTM-TSLightGBM-8h-24T,5.72,8.13,-1.1,0.48
LSTM-TSLightGBM-8h-32T,5.15,6.99,-0.8,0.51

